 ,Area,Mean,Min,Max,Angle,IntDen,RawIntDen,Length
1,4.800,238.173,165.943,313.232,6.602,1143.232,7145.202,23.657
2,4.640,300.578,182.501,526.000,6.893,1394.681,8716.755,22.664
3,5.440,217.746,187.295,259.278,8.176,1184.536,7403.351,24.752
4,4.480,227.804,197.819,293.500,5.058,1020.563,6378.516,23.592
5,4.960,226.020,200.760,335.500,6.843,1121.061,7006.630,24.172
6,3.360,253.322,213.120,343.960,7.061,851.162,5319.760,15.618
7,5.440,233.224,187.573,310.556,6.885,1268.740,7929.624,26.693
8,5.920,243.305,204.613,328.457,6.498,1440.366,9002.286,29.691
9,6.080,256.296,168.500,347.172,6.040,1558.282,9739.260,31.173
10,4.800,220.824,195.750,251.861,7.495,1059.954,6624.711,22.694
11,5.440,221.424,186.659,406.000,9.901,1204.547,7528.417,22.333
12,5.120,252.150,205.000,371.539,11.657,1291.007,8068.795,19.400
13,8.480,216.266,189.953,241.386,12.771,1833.936,11462.098,30.761
14,4.480,222.266,185.778,266.886,17.745,995.752,6223.451,12.599
15,8.320,294.425,209.434,385.291,5.504,2449.615,15310.094,44.204
16,4.000,1066.607,225.313,18501.000,7.148,4266.428,26665.176,18.645
17,3.360,4148.332,226.000,52528.102,7.125,13938.396,87114.977,16.125
18,3.520,300.503,197.959,400.722,6.177,1057.771,6611.071,17.099
19,3.360,293.092,237.500,386.188,7.595,984.790,6154.938,15.133
20,3.520,359.871,179.000,481.286,5.585,1266.746,7917.163,18.086
21,3.200,273.799,212.000,328.465,6.277,876.158,5475.989,16.097
