 ,Area,Mean,Min,Max,Angle,IntDen,RawIntDen,Length
1,16.364,40.234,2.917,206.726,13.253,658.394,4144.085,58.560
2,6.355,41.214,4.444,176.314,20.872,261.919,1648.577,16.053
3,8.103,30.993,3.041,144.000,13.250,251.123,1580.624,28.766
4,6.037,13.556,0.000,50.984,17.296,81.842,515.130,17.456
5,13.663,33.708,0.000,131.697,19.343,460.565,2898.903,37.094
6,16.046,30.430,0.000,213.111,16.851,488.293,3073.427,48.412
7,11.916,46.516,0.273,214.803,16.359,554.268,3488.693,36.477
8,6.355,37.928,2.685,156.666,17.472,241.032,1517.111,18.521
9,10.645,42.382,5.075,189.466,20.002,451.137,2839.564,28.024
10,14.299,47.596,3.905,208.368,17.768,680.563,4283.622,41.303
11,15.252,40.238,1.417,169.763,18.782,613.713,3862.849,42.602
12,12.710,37.301,1.650,188.761,18.524,474.104,2984.118,35.506
13,10.962,40.092,3.915,183.758,19.170,439.501,2766.322,29.997
14,10.486,37.281,0.725,157.795,17.345,390.917,2460.522,30.731
15,8.103,41.505,0.255,118.078,14.794,336.298,2116.736,26.547
16,9.850,112.013,1.583,232.961,18.907,1103.361,6944.812,27.130
17,12.710,31.945,0.000,177.971,19.670,406.017,2555.568,33.983
18,9.533,77.989,16.598,200.228,19.558,743.433,4679.338,25.470
19,19.383,86.219,19.197,230.188,17.032,1671.173,10518.752,58.220
20,8.738,150.021,1.889,253.003,19.764,1310.904,8251.134,23.023
21,12.551,108.919,27.575,225.485,20.082,1367.067,8604.635,33.007
